T2302,Mechanic1,2335,1,Tsk 2302 M700-T1,10000,1,Mechanic 1,Mod700,Mod674,Mod699,Mechanic,C1,,Mod674,2016/04/23 08:11:17,2335.0,2016/04/23 08:50:12,T2244,2,10.0,0.0,,,Mod700
T1843,Mechanic4,2335,1,Tsk 1843 M691-T1,10000,4,Mechanic 4,Mod691,Mod674,Mod690,Mechanic,C1,,Mod674,2016/04/23 08:15:03,2335.0,2016/04/23 08:53:58,T2244,2,10.0,0.0,,,Mod691
T2017,Electrician1,1064,1,Tsk 2017 M518-T1,10000,1,Electrician 1,Mod518,Mod334,Mod406,Electrician,,,Mod334,2016/04/23 08:17:44,1064.0,2016/04/23 08:35:28,T1755,2,0.0,0.0,FC111(1.0),,Mod518
T1897,Sealer4,34588,1,Tsk 1897 M854-T1,10000,4,Sealer 4,Mod854,Mod846,Mod851,Sealer,,,Mod846,2016/04/23 08:18:49,34588.0,2016/04/23 17:55:17,T2176,2,10.0,0.0,FC111(1.0),,Mod854
T1753,Sealer2,1330,1,Tsk 1753 M590-T1,10000,2,Sealer 2,Mod590,Mod334,Mod576,Sealer,,,Mod334,2016/04/23 08:18:50,1330.0,2016/04/23 08:41:00,T1754,3,0.0,0.0,,,Mod590
T1915,Sealer1,1341,1,Tsk 1915 M1914-T1,10000,1,Sealer 1,Mod1914,Mod334,Mod1715,Sealer,,,Mod334,2016/04/23 08:18:50,1341.0,2016/04/23 08:41:11,T1732,3,0.0,0.0,,,Mod1914
T2291,Tester2,2561,1,Tsk 2291 M420-T3,10000,2,Tester 2,Mod420,Mod406,Mod418,Tester,,,Mod406,2016/04/23 08:21:21,2561.0,2016/04/23 09:04:02,T1711,1,0.0,0.0,FC130(1.0),,Mod420
T1997,Tester1,13128,1,Tsk 1997 M525-T2,10000,1,Tester 1,Mod525,Mod522,Mod523,Tester,,,Mod522,2016/04/23 08:21:21,13128.0,2016/04/23 12:00:09,T2243,2,10.0,0.0,FC99(1.0),,Mod525
T2003,Mechanic3,1580,1,Tsk 2003 M694-T2,10000,3,Mechanic 3,Mod694,Mod674,Mod693,Mechanic,C1,,Mod674,2016/04/23 08:22:43,1580.0,2016/04/23 08:49:03,T821,2,10.0,0.0,FC122(1.0),,Mod694
T799,Mechanic2,1238,1,Tsk 799 M798-T1,10000,2,Mechanic 2,Mod798,Mod334,Mod795,Mechanic,C1,Lunch break,Mod334,2016/04/23 08:24:26,1238.0,2016/04/23 08:45:04,T2138,3,0.0,0.0,,,Mod798
T2096,Mechanic7,1897,1,Tsk 2096 M453-T2,10000,7,Mechanic 7,Mod453,Mod406,Mod451,Mechanic,C1,,Mod406,2016/04/23 08:32:55,1897.0,2016/04/23 09:04:32,T2262,3,10.0,0.0,FC121(1.0),,Mod453
T2105,Mechanic6,2822,1,Tsk 2105 M539-T2,10000,6,Mechanic 6,Mod539,Mod334,Mod538,Mechanic,C1,,Mod334,2016/04/23 08:32:55,2822.0,2016/04/23 09:19:57,T2313,2,0.0,0.0,,,Mod539
T1755,Electrician1,532,1,Tsk 1755 M590-T2,10000,1,Electrician 1,Mod590,Mod334,Mod576,Electrician,,,Mod334,2016/04/23 08:41:00,532.0,2016/04/23 08:49:52,T1947,3,0.0,0.0,,,Mod590
T1732,Sealer1,565,1,Tsk 1732 M1731-T1,10000,1,Sealer 1,Mod1731,Mod334,Mod1715,Sealer,,,Mod334,2016/04/23 08:41:11,565.0,2016/04/23 08:50:36,T1922,4,10.0,0.0,FC124(2.0),,Mod1731
T1732,Sealer3,565,1,Tsk 1732 M1731-T1,10000,3,Sealer 3,Mod1731,Mod334,Mod1715,Sealer,,,Mod334,2016/04/23 08:41:11,565.0,2016/04/23 08:50:36,T1813,3,0.0,0.0,FC124(2.0),,Mod1731
T2317,Mechanic5,1751,1,Tsk 2317 M497-T1,10000,5,Mechanic 5,Mod497,Mod334,Mod406,Mechanic,C1,,Mod334,2016/04/23 08:42:18,1751.0,2016/04/23 09:11:29,T1718,3,10.0,0.0,FC104(1.0),,Mod497
T2138,Mechanic2,1580,1,Tsk 2138 M830-T1,10000,2,Mechanic 2,Mod830,Mod334,Mod828,Mechanic,C1,Lunch break,Mod334,2016/04/23 08:45:04,1580.0,2016/04/23 09:11:24,T2316,4,0.0,0.0,FC129(1.0),,Mod830
T821,Mechanic3,934,1,Tsk 821 M820-T1,10000,3,Mechanic 3,Mod820,Mod334,Mod795,Mechanic,C1,,Mod334,2016/04/23 08:49:03,934.0,2016/04/23 09:04:37,T2085,3,10.0,0.0,,,Mod820
T1754,Sealer2,532,1,Tsk 1754 M590-T3,10000,2,Sealer 2,Mod590,Mod334,Mod576,Sealer,,,Mod334,2016/04/23 08:49:52,532.0,2016/04/23 08:58:44,T1719,4,10.0,0.0,,,Mod590
T1947,Electrician1,1064,1,Tsk 1947 M404-T1,10000,1,Electrician 1,Mod404,Mod334,Mod402,Electrician,,,Mod334,2016/04/23 08:49:52,1064.0,2016/04/23 09:07:36,T1939,4,0.0,0.0,,,Mod404
T2244,Mechanic4,858,1,Tsk 2244 M416-T1,10000,4,Mechanic 4,Mod416,Mod406,Mod415,Mechanic,C1,,Mod406,2016/04/23 08:53:58,858.0,2016/04/23 09:08:16,T2084,3,10.0,0.0,FC134(2.0),,Mod416
T2244,Mechanic1,858,1,Tsk 2244 M416-T1,10000,1,Mechanic 1,Mod416,Mod406,Mod415,Mechanic,C1,,Mod406,2016/04/23 08:53:58,858.0,2016/04/23 09:08:16,T2263,3,10.0,0.0,FC134(2.0),,Mod416
T1719,Sealer2,798,1,Tsk 1719 M695-T1,10000,2,Sealer 2,Mod695,Mod674,Mod693,Sealer,,,Mod674,2016/04/23 08:58:44,798.0,2016/04/23 09:12:02,T2207,5,10.0,0.0,FC122(1.0),,Mod695
T1711,Tester2,1601,1,Tsk 1711 M421-T2,10000,2,Tester 2,Mod421,Mod406,Mod418,Tester,,,Mod406,2016/04/23 09:04:02,1601.0,2016/04/23 09:30:43,T2212,2,0.0,0.0,FC130(1.0),,Mod421
T2262,Mechanic7,532,1,Tsk 2262 M396-T1,10000,7,Mechanic 7,Mod396,Mod334,Mod370,Mechanic,C1,,Mod334,2016/04/23 09:04:32,532.0,2016/04/23 09:13:24,T2083,4,0.0,0.0,FC94(1.0),,Mod396
T2085,Mechanic3,1129,1,Tsk 2085 M679-T1,10000,3,Mechanic 3,Mod679,Mod674,Mod678,Mechanic,C1,,Mod674,2016/04/23 09:04:37,1129.0,2016/04/23 09:23:26,T801,4,10.0,0.0,,,Mod679
T1939,Electrician1,1129,1,Tsk 1939 M549-T1,10000,1,Electrician 1,Mod549,Mod334,Mod548,Electrician,,,Mod334,2016/04/23 09:07:36,1129.0,2016/04/23 09:26:25,T2300,5,0.0,0.0,,,Mod549
T1922,Sealer1,532,1,Tsk 1922 M372-T1,10000,1,Sealer 1,Mod372,Mod370,Mod371,Sealer,,,Mod370,2016/04/23 09:09:57,532.0,2016/04/23 09:18:49,T2135,5,10.0,0.0,FC119(1.0),,Mod372
T2316,Mechanic2,350,1,Tsk 2316 M497-T2,10000,2,Mechanic 2,Mod497,Mod334,Mod406,Mechanic,C1,,Mod334,2016/04/23 09:11:29,350.0,2016/04/23 09:17:19,T2136,5,10.0,0.0,FC104(1.0),,Mod497
T1718,Mechanic5,1580,1,Tsk 1718 M695-T2,10000,5,Mechanic 5,Mod695,Mod674,Mod693,Mechanic,C1,,Mod674,2016/04/23 09:12:02,1580.0,2016/04/23 09:38:22,T2075,4,10.0,0.0,FC122(1.0),,Mod695
T2207,Sealer2,8129,1,Tsk 2207 M2206-T1,10000,2,Sealer 2,Mod2206,Mod334,Mod1715,Sealer,,,Mod334,2016/04/23 09:12:02,8129.0,2016/04/23 11:27:31,T2169,6,10.0,0.0,,,Mod2206
T2083,Mechanic7,1897,1,Tsk 2083 M2082-T2,10000,7,Mechanic 7,Mod2082,Mod334,Mod1715,Mechanic,C1,,Mod334,2016/04/23 09:13:24,1897.0,2016/04/23 09:45:01,T797,5,0.0,0.0,,,Mod2082
T2263,Mechanic1,4197,1,Tsk 2263 M396-T2,10000,1,Mechanic 1,Mod396,Mod334,Mod370,Mechanic,C1,,Mod334,2016/04/23 09:13:24,4197.0,2016/04/23 10:23:21,T1833,4,0.0,0.0,FC94(1.0),,Mod396
T2136,Mechanic2,2348,1,Tsk 2136 M704-T1,10000,2,Mechanic 2,Mod704,Mod674,Mod702,Mechanic,C1,,Mod674,2016/04/23 09:17:19,2348.0,2016/04/23 09:56:27,T813,6,10.0,0.0,FC92(1.0),,Mod704
T1813,Sealer3,3725,1,Tsk 1813 M395-T3,10000,3,Sealer 3,Mod395,Mod334,Mod370,Sealer,,,Mod334,2016/04/23 09:18:49,3725.0,2016/04/23 10:20:54,T1923,4,10.0,0.0,FC107(1.0),,Mod395
T1925,Mechanic8,6775,1,Tsk 1925 M372-T2,10000,8,Mechanic 8,Mod372,Mod370,Mod371,Mechanic,C1,,Mod370,2016/04/23 09:18:49,6775.0,2016/04/23 11:11:44,T805,2,10.0,0.0,FC119(1.0),,Mod372
T2313,Mechanic6,2258,1,Tsk 2313 M745-T1,10000,6,Mechanic 6,Mod745,Mod334,Mod674,Mechanic,C1,Lunch break,Mod334,2016/04/23 09:19:57,2258.0,2016/04/23 09:57:35,T1812,3,0.0,0.0,FC122(1.0),,Mod745
T801,Mechanic3,1448,1,Tsk 801 M800-T1,10000,3,Mechanic 3,Mod800,Mod334,Mod795,Mechanic,C1,,Mod334,2016/04/23 09:23:26,1448.0,2016/04/23 09:47:34,T807,5,0.0,0.0,,,Mod800
T2084,Mechanic4,2258,1,Tsk 2084 M679-T2,10000,4,Mechanic 4,Mod679,Mod674,Mod678,Mechanic,C1,,Mod674,2016/04/23 09:23:26,2258.0,2016/04/23 10:01:04,T2086,4,0.0,0.0,,,Mod679
T2300,Electrician1,1129,1,Tsk 2300 M825-T1,10000,1,Electrician 1,Mod825,Mod334,Mod824,Electrician,,,Mod334,2016/04/23 09:26:25,1129.0,2016/04/23 09:45:14,T2205,6,10.0,0.0,,,Mod825
T2212,Tester2,1921,1,Tsk 2212 M419-T2,10000,2,Tester 2,Mod419,Mod406,Mod418,Tester,,,Mod406,2016/04/23 09:30:43,1921.0,2016/04/23 10:02:44,T2199,3,10.0,0.0,FC130(1.0),,Mod419
T2210,Assistant1,7516,1,Tsk 2210 M591-T1,10000,1,Assistant 1,Mod591,Mod334,Mod576,Assistant,,,Mod334,2016/04/23 09:33:20,7516.0,2016/04/23 11:38:36,,2,,,FC113(2.0),,Mod591
T2210,Assistant2,7516,1,Tsk 2210 M591-T1,10000,2,Assistant 2,Mod591,Mod334,Mod576,Assistant,,,Mod334,2016/04/23 09:33:20,7516.0,2016/04/23 11:38:36,,2,,,FC113(2.0),,Mod591
T2075,Mechanic5,3600,1,Tsk 2075 M2073-T1,10000,5,Mechanic 5,Mod2073,Mod334,Mod1715,Mechanic,C1,,Mod334,2016/04/23 09:38:22,3600.0,2016/04/23 10:38:22,T2074,5,0.0,0.0,,,Mod2073
T797,Mechanic7,2149,1,Tsk 797 M796-T1,10000,7,Mechanic 7,Mod796,Mod334,Mod795,Mechanic,C1,,Mod334,2016/04/23 09:45:01,2149.0,2016/04/23 10:20:50,T1823,6,0.0,0.0,,,Mod796
T2205,Electrician1,1355,1,Tsk 2205 M387-T1,10000,1,Electrician 1,Mod387,Mod370,Mod385,Electrician,,,Mod370,2016/04/23 09:45:14,1355.0,2016/04/23 10:07:49,T2081,7,0.0,0.0,FC138(1.0),,Mod387
T807,Mechanic3,1448,1,Tsk 807 M806-T1,10000,3,Mechanic 3,Mod806,Mod334,Mod795,Mechanic,C1,,Mod334,2016/04/23 09:47:34,1448.0,2016/04/23 10:11:42,T2068,6,0.0,0.0,,,Mod806
T2135,Sealer1,798,1,Tsk 2135 M704-T2,10000,1,Sealer 1,Mod704,Mod674,Mod702,Sealer,,,Mod674,2016/04/23 09:56:27,798.0,2016/04/23 10:09:45,T2261,6,10.0,0.0,FC92(1.0),,Mod704
T813,Mechanic2,3199,1,Tsk 813 M812-T1,10000,2,Mechanic 2,Mod812,Mod334,Mod795,Mechanic,C1,,Mod334,2016/04/23 09:56:27,3199.0,2016/04/23 10:49:46,T2168,7,10.0,0.0,FC126(1.0),,Mod812
